C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
46.685547,38398750.42,32.959579,LOS
46.582874,38398812.1,32.958935,LOS
46.286575,38398868.63,32.958282,LOS
46.950317,38398930.17,32.957634,LOS
47.187538,38398992.1,32.956985,LOS
47.295662,38399053.77,32.956341,LOS
46.620094,38399109.68,32.955685,LOS
46.251652,38399171.24,32.955036,LOS
45.984844,38399232.9,32.954391,LOS
45.894733,38399293.99,32.953751,LOS
45.656548,38399350.1,32.953098,LOS
46.621284,38399411.75,32.952446,LOS
47.167229,38399473.64,32.951809,LOS
47.57531,38399535.22,32.95116,LOS
47.782425,38399591.97,32.950512,LOS
47.873341,38399653.48,32.949867,LOS
47.349033,38399715.05,32.949226,LOS
46.976654,38399776.79,32.94857,LOS
46.231346,38399832.95,32.947933,LOS
46.138035,38399894.39,32.947285,LOS
46.707806,38399955.96,32.946632,LOS
47.854889,38400012.07,32.945995,LOS
47.28495,38400073.33,32.945347,LOS
47.005192,38400134.81,32.944706,LOS
45.820793,38400196.48,32.944057,LOS
45.696674,38400252.44,32.943409,LOS
46.608486,38400314.19,32.942764,LOS
47.260319,38400375.34,32.942123,LOS
47.336109,38400436.61,32.941479,LOS
47.743519,38400492.49,32.94083,LOS
46.916252,38400553.87,32.940189,LOS
46.905308,38400615.11,32.939545,LOS
46.995419,38400676.55,32.938904,LOS
46.898392,38400732.16,32.938255,LOS
